thematic,mkey,osmtype,osm_id,lat,lon,place,abandoned:place,name,other_tags
Localities,place=village,n,1161448697,-4.18266,19.6572,village,,Ngiengani,"""name""=>""Ngiengani"", ""place""=>""village"", ""source""=>""GPS"", ""source_ref""=>""www.rgc.cd"", ""attribution""=>""«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»"", ""source:date""=>""2007/11/18"", ""is_in:groupement""=>""Mukenambele"", ""is_in:territoire""=>""Idiofa"", ""is_in:collectivité""=>""Kapia"""
Localities,place=village,n,4984675921,-6.05,22.316667,village,,Bonzo,"""name""=>""Bonzo"", ""place""=>""village"", ""source""=>""RGC"""
Localities,place=isolated_dwelling,n,4882912582,1.4207197,28.0036971,isolated_dwelling,,,"""place""=>""isolated_dwelling"""
Localities,place=hamlet,n,4857858415,-5.3521709,26.660153,hamlet,,,"""place""=>""hamlet"""
Localities,place=village,n,1161451089,-4.4275453,18.420412,village,,Kimbulu,"""name""=>""Kimbulu"", ""place""=>""village"", ""source""=>""GPS"", ""source_ref""=>""www.rgc.cd"", ""attribution""=>""«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»"", ""source:date""=>""2010/04/21"", ""is_in:territoire""=>""Bulungu"", ""is_in:collectivité""=>""Kilunda"""
Localities,place=isolated_dwelling,n,6291307333,1.9781859,30.8888599,isolated_dwelling,,,"""place""=>""isolated_dwelling"""
Localities,place=village,n,1161069527,-4.87937,18.32284,village,,Camp Luzolo,"""name""=>""Camp Luzolo"", ""place""=>""village"", ""source""=>""GPS"", ""source_ref""=>""www.rgc.cd"", ""attribution""=>""«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»"", ""source:date""=>""2008/12/15"", ""is_in:groupement""=>""Mulutu"", ""is_in:territoire""=>""Masi Manimba"", ""is_in:collectivité""=>""Mosango"""
Localities,place=village,n,4516792666,4.2933739,21.0606033,village,,Tudu,"""name""=>""Tudu"", ""place""=>""village"", ""source""=>""RGC"""
Localities,place=village,n,4984675072,-6.5882783,22.0559652,village,,Tshisuku,"""name""=>""Tshisuku"", ""place""=>""village"", ""source""=>""RGC"""
Localities,place=hamlet,n,4567822943,-6.0184661,23.454239,hamlet,,,"""place""=>""hamlet"", ""source""=>""Bing"""
Localities,place=village,n,4569306366,-6.6065522,23.564279,village,,Kakona,"""name""=>""Kakona"", ""place""=>""village"", ""source""=>""Bing"", ""capital""=>""7"", ""alt_name""=>""Bena Kakono"", ""admin_level""=>""7"""
Localities,place=village,n,3233803415,-7.7924106,29.2131026,village,,Kabuta,"""name""=>""Kabuta"", ""place""=>""village"""
Localities,place=village,n,5208515980,-4.6669065,22.7511619,village,,Bakwa-Ninge,"""name""=>""Bakwa-Ninge"", ""place""=>""village"", ""source""=>""wikimapia"""
Localities,place=village,n,1156634536,-3.2784692,26.5436408,village,,Wandemba,"""name""=>""Wandemba"", ""place""=>""village"", ""source""=>""GPS"", ""source_ref""=>""www.rgc.cd"", ""attribution""=>""«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»"", ""source:date""=>""2008/11/26"", ""is_in:groupement""=>""Munua"", ""is_in:territoire""=>""Pangi"", ""is_in:collectivité""=>""Babene"""
Localities,place=hamlet,n,4610671513,-5.6419873,29.3783194,hamlet,,,"""place""=>""hamlet"""
Localities,place=village,n,5414816854,-4.6445678,28.7129617,village,,Akye,"""name""=>""Akye"", ""fixme""=>""resurvey needed"", ""place""=>""village"""
Localities,place=village,n,1168731975,-5.0946389,14.71865,village,,Kilemba,"""name""=>""Kilemba"", ""place""=>""village"", ""source""=>""GPS"", ""source_ref""=>""www.rgc.cd"", ""attribution""=>""«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»"", ""source:date""=>""2010/04/21"", ""is_in:territoire""=>""Mbanza-Ngungu"""
Localities,place=hamlet,n,3044934025,-1.0044786,20.2928426,hamlet,,Bakako,"""name""=>""Bakako"", ""place""=>""hamlet"", ""source""=>""SYGIAP project (UCL and UGent)"""
Localities,place=village,n,5478096174,-5.5202553,21.3424209,village,,,"""place""=>""village"""
Localities,place=village,n,4486657417,-5.4375548,27.4548667,village,,,"""place""=>""village"""
Localities,place=village,n,1157841815,4.1729167,27.0671833,village,,Banda,"""name""=>""Banda"", ""place""=>""village"", ""source""=>""GPS"", ""alt_name""=>""Bandu"", ""source_ref""=>""www.rgc.cd"", ""attribution""=>""«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»"", ""source:date""=>""2010/02/24"", ""is_in:territoire""=>""Ango"", ""is_in:collectivité""=>""Mopoy"""
Localities,place=village,n,663345155,-8.1026743,30.5332326,village,,Livwa,"""name""=>""Livwa"", ""place""=>""village"", ""source""=>""www.rgc.cd;survey"", ""is_in:groupement""=>""Muliro"", ""is_in:territoire""=>""Moba"", ""is_in:collectivité""=>""Manda"""
Localities,place=village,n,1161448655,-4.34073,19.65381,village,,Mbel II,"""name""=>""Mbel II"", ""place""=>""village"", ""source""=>""GPS"", ""alt_name""=>""Ferme Mwinko"", ""source_ref""=>""www.rgc.cd"", ""attribution""=>""«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»"", ""source:date""=>""2007/11/15"", ""is_in:groupement""=>""Mukenambele"", ""is_in:territoire""=>""Idiofa"", ""is_in:collectivité""=>""Kapia"""
Localities,place=village,n,1161455158,-4.15175,19.02546,village,,Maniey,"""name""=>""Maniey"", ""place""=>""village"", ""source""=>""GPS"", ""source_ref""=>""www.rgc.cd"", ""attribution""=>""«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»"", ""source:date""=>""2007/09/14"", ""is_in:groupement""=>""Munim"", ""is_in:territoire""=>""Idiofa"", ""is_in:collectivité""=>""Sedzo"""
Localities,place=village,n,4628005037,-5.7269934,26.4267914,village,,,"""place""=>""village"""
Localities,place=hamlet,n,4589261503,-5.0850341,27.3962841,hamlet,,,"""place""=>""hamlet"""
Localities,place=village,n,1161447426,-4.83381,18.92412,village,,Mbembele,"""name""=>""Mbembele"", ""place""=>""village"", ""source""=>""GPS"", ""alt_name""=>""Bembele"", ""source_ref""=>""www.rgc.cd"", ""attribution""=>""«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»"", ""source:date""=>""2008/11/15"", ""is_in:groupement""=>""Ngweme"", ""is_in:territoire""=>""Bulungu"", ""is_in:collectivité""=>""Imbongo"""
Localities,place=village,n,4516792115,3.766667,19.016667,village,,Bonduru,"""name""=>""Bonduru"", ""place""=>""village"", ""source""=>""RGC"""
Localities,place=village,n,1161448088,-4.01178,19.00056,village,,Kikala,"""name""=>""Kikala"", ""place""=>""village"", ""source""=>""GPS"", ""source_ref""=>""www.rgc.cd"", ""attribution""=>""«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»"", ""source:date""=>""2007/09/08"", ""is_in:groupement""=>""Kasindani"", ""is_in:territoire""=>""Idiofa"", ""is_in:collectivité""=>""Mateko"""
